Current,Next,I_next,I_current
Community Chest #3,Community Chest #1,2,33
Community Chest #1,Electric Company,12,2
Electric Company,Community Chest #2,17,12
Community Chest #2,Indiana Ave,23,17
Indiana Ave,Water Works,28,23
Water Works,Luxury Tax,38,28
Luxury Tax,Income Tax,4,38
Income Tax,Jail,10,4
Jail,St. James Place,16,10
St. James Place,Ventnor Ave,27,16
Ventnor Ave,Short Line,35,27
Short Line,Baltic Ave,3,35
Baltic Ave,Chance #1,7,3
Chance #1,Reading Railroad,5,7
Reading Railroad,States Ave,13,5
States Ave,Tennessee Ave,18,13
Tennessee Ave,Ventnor Ave,27,18
Ventnor Ave,Community Chest #3,33,27
Community Chest #3,Chance #3,36,33
Chance #3,St. Charles Place,11,36
St. Charles Place,Virginia Ave,14,11
Virginia Ave,Illinois Ave,24,14
Illinois Ave,Go To Jail,30,24
Go To Jail,Jail,10,30
Jail,Chance #2,22,10
Chance #2,Jail,10,22
Jail,States Ave,13,10
States Ave,Free Parking,20,13
Free Parking,Water Works,28,20
Water Works,Short Line,35,28
Short Line,Income Tax,4,35
Income Tax,Vermont Ave,8,4
Vermont Ave,Tennessee Ave,18,8
Tennessee Ave,Marvin Gardens,29,18
Marvin Gardens,Pennsylvania Ave,34,29
Pennsylvania Ave,Mediterranean Ave,1,34
Mediterranean Ave,Vermont Ave,8,1
Vermont Ave,Virginia Ave,14,8
Virginia Ave,Tennessee Ave,18,14
Tennessee Ave,Marvin Gardens,29,18
Marvin Gardens,Community Chest #3,33,29
Community Chest #3,Baltic Ave,3,33
Baltic Ave,St. Charles Place,11,3
St. Charles Place,New York Ave,19,11
New York Ave,B & O Railroad,25,19
B & O Railroad,Go To Jail,30,25
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,Indiana Ave,23,17
Indiana Ave,Pennsylvania Ave,34,23
Pennsylvania Ave,Mediterranean Ave,1,34
Mediterranean Ave,Connecticut Ave,9,1
Connecticut Ave,States Ave,13,9
States Ave,Chance #2,22,13
Chance #2,Marvin Gardens,29,22
Marvin Gardens,Boardwalk,39,29
Boardwalk,Oriental Ave,6,39
Oriental Ave,States Ave,13,6
States Ave,New York Ave,19,13
New York Ave,Atlantic Ave,26,19
Atlantic Ave,Marvin Gardens,29,26
Marvin Gardens,North Carolina Ave,32,29
North Carolina Ave,Boardwalk,39,32
Boardwalk,Jail,10,39
Jail,St. James Place,16,10
St. James Place,Indiana Ave,23,16
Indiana Ave,North Carolina Ave,32,23
North Carolina Ave,Mediterranean Ave,1,32
Mediterranean Ave,Vermont Ave,8,1
Vermont Ave,Virginia Ave,14,8
Virginia Ave,Kentucky Ave,21,14
Kentucky Ave,Marvin Gardens,29,21
Marvin Gardens,Chance #3,36,29
Chance #3,Community Chest #3,33,36
Community Chest #3,Income Tax,4,33
Income Tax,Connecticut Ave,9,4
Connecticut Ave,Community Chest #2,17,9
